full_date,timestamp,voltage,current,temperature,flow_rate,hydrogen
15/01/2024,18:47:06,1.00,2.00,33.00,3.00,4.00
15/01/2024,18:47:28,1.00,2.00,33.00,3.00,4.00
15/01/2024,18:47:34,1.00,2.00,33.00,3.00,4.00
15/01/2024,19:18:50,1.00,2.00,33.00,3.00,4.00
15/01/2024,19:18:56,1.00,2.00,33.00,3.00,4.00
15/01/2024,19:53:36,1.00,2.00,32.50,3.00,4.00
15/01/2024,19:53:42,1.00,2.00,32.50,3.00,4.00
16/01/2024,13:05:05,0.02,0.00,25.81,-1.00,27.00
16/01/2024,13:05:13,0.02,0.00,25.81,-1.00,28.00
16/01/2024,13:05:22,0.02,0.00,25.81,-1.00,28.00
