full_date,timestamp,voltage,current,analog_READ,flow_rate,pulse_count
18/01/2024,10:51:06,2.88,1.00,521,1.11,8
18/01/2024,10:51:12,3.10,0.78,523,1.25,9
18/01/2024,10:51:18,3.13,0.93,524,1.25,9
18/01/2024,10:51:24,3.13,0.85,523,1.25,9
18/01/2024,10:51:30,3.13,0.85,523,1.25,9
18/01/2024,10:51:36,3.13,0.93,523,1.11,8
18/01/2024,10:51:42,3.08,0.93,524,1.11,8
18/01/2024,10:51:48,3.05,0.85,524,1.25,9
18/01/2024,10:51:54,3.05,0.85,523,1.25,9
18/01/2024,10:52:00,3.05,0.85,523,1.25,9
18/01/2024,10:52:06,3.05,0.93,522,1.25,9
18/01/2024,10:52:12,3.05,0.93,524,1.25,9
18/01/2024,10:52:18,3.05,0.85,524,1.25,9
18/01/2024,10:52:24,3.05,0.85,522,1.25,9
18/01/2024,10:52:30,3.05,0.78,522,1.25,9
18/01/2024,10:52:36,3.05,0.93,532,1.11,8
18/01/2024,10:52:42,3.42,1.44,531,0.97,7
18/01/2024,10:52:48,3.45,1.52,532,1.25,9
18/01/2024,10:52:54,3.45,1.44,530,1.25,9
18/01/2024,10:53:00,3.47,1.44,531,1.25,9
18/01/2024,10:53:06,3.45,1.44,531,1.25,9
18/01/2024,10:53:12,3.47,1.44,531,1.25,9
18/01/2024,10:53:18,3.45,1.30,530,1.25,9
18/01/2024,10:53:24,3.45,1.52,530,1.25,9
18/01/2024,10:53:30,3.45,1.44,531,1.25,9
18/01/2024,10:53:36,3.47,1.30,530,1.25,9
18/01/2024,10:53:42,3.47,1.37,530,1.25,9
18/01/2024,10:53:48,3.47,1.44,530,1.25,9
18/01/2024,10:53:54,3.45,1.30,531,1.39,10
18/01/2024,10:54:00,3.45,1.44,531,1.11,8
18/01/2024,10:54:06,3.47,1.44,531,1.25,9
18/01/2024,10:54:12,3.49,1.44,530,1.25,9
18/01/2024,10:54:18,3.47,1.37,531,1.39,10
18/01/2024,10:54:24,3.47,1.44,531,1.25,9
